date,day_sin,day_cos,weekday_sin,weekday_cos,month_sin,month_cos,weekend,holiday,actual_holiday,cash_balance,net_inflow
2019-01-24,-0.9884683243281114,0.15142777750457667,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,11225700.590084711,513218.78016646166
2019-01-25,-0.9377521321470804,0.3473052528448203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,11883209.77247228,657509.1823875685
2019-01-26,-0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,1,1,0,12462774.858318232,579565.0858459517
2019-01-27,-0.72479278722912,0.6889669190756865,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,1,0,13007744.386008866,544969.5276906339
2019-01-28,-0.5712682150947924,0.8207634412072763,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,13554711.58574557,546967.1997367037
2019-01-29,-0.3943558551133187,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,14080707.519369137,525995.9336235644
2019-01-30,-0.20129852008866114,0.9795299412524943,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,14650973.703439018,570266.1840698819
2019-01-31,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,13780809.02796432,-870164.675474697
2019-02-01,0.20129852008866006,0.9795299412524945,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,14373451.060987065,592642.0330227447
2019-02-02,0.39435585511331855,0.9189578116202306,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,1,0,14876638.452304512,503187.3913174471
2019-02-03,0.5712682150947923,0.8207634412072763,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,1,1,0,15351358.160018433,474719.70771392056
2019-02-04,0.72479278722912,0.6889669190756866,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,15828670.310005682,477312.1499872493
2019-02-05,0.8486442574947509,0.5289640103269624,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,15802649.023286888,-26021.286718793894
2019-02-06,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,16301876.517625336,499227.4943384468
2019-02-07,0.9884683243281114,0.1514277775045767,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,16811190.19508342,509313.6774580863
2019-02-08,0.9987165071710528,-0.05064916883871264,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,17376574.827748254,565384.6326648308
2019-02-09,0.9680771188662043,-0.2506525322587204,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,1,0,17881574.870863352,505000.04311510245
2019-02-10,0.8978045395707416,-0.4403941515576344,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,1,1,0,18369507.97699709,487933.1061337332
2019-02-11,0.7907757369376989,-0.6121059825476626,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,18843282.1558358,473774.1788387076
2019-02-12,0.6513724827222223,-0.758758122692791,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,19303972.819615457,460690.6637796631
2019-02-13,0.48530196253108104,-0.8743466161445821,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,19799109.47898108,495136.65936562215
2019-02-14,0.29936312297335804,-0.9541392564000488,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,20310391.18227456,511281.7032934809
2019-02-15,0.10116832198743272,-0.994869323391895,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,19857967.23833283,-452423.9439417304
2019-02-16,-0.10116832198743204,-0.9948693233918952,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,1,0,20355335.531018674,497368.29268584144
2019-02-17,-0.2993631229733582,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,1,1,0,20842961.7172814,487626.18626272096
2019-02-18,-0.4853019625310808,-0.8743466161445822,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,21315014.45452769,472052.7372463008
2019-02-19,-0.651372482722222,-0.7587581226927911,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,21761984.18049611,446969.72596841474
2019-02-20,-0.7907757369376986,-0.6121059825476627,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,22259615.70580885,497631.5253127415
2019-02-21,-0.8978045395707417,-0.44039415155763423,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,22777958.8726651,518343.1668562472
2019-02-22,-0.9680771188662041,-0.2506525322587213,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0,0,0,23345647.259071216,567688.3864061157
2019-02-23,-0.9987165071710528,-0.05064916883871355,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,1,1,0,23850815.453990903,505168.1949196891
2019-02-24,-0.9884683243281114,0.15142777750457667,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,1,1,0,24338006.867068727,487191.4130778245
2019-02-25,-0.9377521321470804,0.3473052528448203,0.0,1.0,0.8660254037844386,0.5000000000000001,0,0,0,24887267.164953064,549260.2978843356
2019-02-26,-0.8486442574947509,0.5289640103269624,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0,0,0,25409965.986231443,522698.82127837685
2019-02-27,-0.72479278722912,0.6889669190756865,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0,0,0,25977857.1331976,567891.1469661605
2019-02-28,-0.5712682150947924,0.8207634412072763,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0,0,0,25109828.013551023,-868029.1196465784
2019-03-01,0.20129852008866006,0.9795299412524945,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,25693958.982878085,584130.9693270639
2019-03-02,0.39435585511331855,0.9189578116202306,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,1,0,26192832.68580729,498873.7029292088
2019-03-03,0.5712682150947923,0.8207634412072763,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,1,0,26673088.416523077,480255.7307157776
2019-03-04,0.72479278722912,0.6889669190756866,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,27136032.99006516,462944.57354208425
2019-03-05,0.8486442574947509,0.5289640103269624,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,27108987.74424147,-27045.245823685425
2019-03-06,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,27611816.918701503,502829.174460032
2019-03-07,0.9884683243281114,0.1514277775045767,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,28145184.319509275,533367.4008077721
2019-03-08,0.9987165071710528,-0.05064916883871264,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,28720104.04750385,574919.727994576
2019-03-09,0.9680771188662043,-0.2506525322587204,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,1,0,29230007.03401312,509902.98650927335
2019-03-10,0.8978045395707416,-0.4403941515576344,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,1,0,18181961.52429928,-11048045.509713843
2019-03-11,0.7907757369376989,-0.6121059825476626,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,18647863.040793806,465901.516494525
2019-03-12,0.6513724827222223,-0.758758122692791,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,19110340.968107536,462477.9273137309
2019-03-13,0.48530196253108104,-0.8743466161445821,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,19617759.621933877,507418.6538263385
2019-03-14,0.29936312297335804,-0.9541392564000488,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,20139859.65948013,522100.03754625336
2019-03-15,0.10116832198743272,-0.994869323391895,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,17798282.804286655,-2341576.8551934725
2019-03-16,-0.10116832198743204,-0.9948693233918952,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,1,0,18280208.900918577,481926.0966319204
2019-03-17,-0.2993631229733582,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,1,0,18766921.62952964,486712.7286110648
2019-03-18,-0.4853019625310808,-0.8743466161445822,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,19237651.1352824,470729.5057527597
2019-03-19,-0.651372482722222,-0.7587581226927911,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,19695256.66011756,457605.524835158
2019-03-20,-0.7907757369376986,-0.6121059825476627,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,20191564.767814875,496308.10769731866
2019-03-21,-0.8978045395707417,-0.44039415155763423,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,20698254.67707116,506689.909256286
2019-03-22,-0.9680771188662041,-0.2506525322587213,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,17564244.549776424,-3134010.127294739
2019-03-23,-0.9987165071710528,-0.05064916883871355,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,1,0,18069022.994235057,504778.4444586329
2019-03-24,-0.9884683243281114,0.15142777750457667,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,1,0,18560907.788583416,491884.7943483604
2019-03-25,-0.9377521321470804,0.3473052528448203,0.0,1.0,1.0,6.123233995736766e-17,0,0,0,19097978.90977001,537071.1211865926
2019-03-26,-0.8486442574947509,0.5289640103269624,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0,0,0,19620274.181657545,522295.2718875373
2019-03-27,-0.72479278722912,0.6889669190756865,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0,0,0,20186916.61739071,566642.4357331616
2019-03-28,-0.5712682150947924,0.8207634412072763,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0,0,0,20796228.13997618,609311.5225854752
2019-03-29,-0.3943558551133187,0.9189578116202306,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0,0,0,21460157.20622001,663929.066243823
2019-03-30,-0.20129852008866114,0.9795299412524943,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1,1,0,22032218.728508472,572061.5222884665
2019-03-31,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,1,1,0,21114046.033205908,-918172.695302564
2019-04-01,0.20129852008866006,0.9795299412524945,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,21584481.50230498,470435.4690990712
2019-04-02,0.39435585511331855,0.9189578116202306,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,17445842.2372647,-4138639.265040281
2019-04-03,0.5712682150947923,0.8207634412072763,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,0,17936304.61101718,490462.37375247845
2019-04-04,0.72479278722912,0.6889669190756866,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,18455470.12847037,519165.517453193
2019-04-05,0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,18546230.72110352,90760.59263314828
2019-04-06,0.9377521321470804,0.3473052528448203,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1,1,0,19035464.814389624,489234.09328610427
2019-04-07,0.9884683243281114,0.1514277775045767,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1,1,0,19516993.625455637,481528.8110660101
2019-04-08,0.9987165071710528,-0.05064916883871264,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,19987300.437948745,470306.8124931121
2019-04-09,0.9680771188662043,-0.2506525322587204,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,20445757.715414733,458457.2774659846
2019-04-10,0.8978045395707416,-0.4403941515576344,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,0,20938107.522177737,492349.80676300713
2019-04-11,0.7907757369376989,-0.6121059825476626,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,21447871.137170736,509763.6149929983
2019-04-12,0.6513724827222223,-0.758758122692791,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,22016579.450321905,568708.3131511688
2019-04-13,0.48530196253108104,-0.8743466161445821,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1,1,0,22513518.073274188,496938.62295228126
2019-04-14,0.29936312297335804,-0.9541392564000488,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1,1,0,22986477.207368128,472959.1340939411
2019-04-15,0.10116832198743272,-0.994869323391895,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,22467027.567598835,-519449.639769295
2019-04-16,-0.10116832198743204,-0.9948693233918952,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,22927643.073738083,460615.5061392524
2019-04-17,-0.2993631229733582,-0.9541392564000488,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,0,23435990.888817117,508347.8150790263
2019-04-18,-0.4853019625310808,-0.8743466161445822,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,0,0,22782996.370623715,-652994.5181933967
2019-04-19,-0.651372482722222,-0.7587581226927911,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,23357388.90907943,574392.5384557117
2019-04-20,-0.7907757369376986,-0.6121059825476627,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1,1,0,18728132.42329073,-4629256.4857887
2019-04-21,-0.8978045395707417,-0.44039415155763423,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1,1,0,19332411.709370367,604279.286079641
2019-04-22,-0.9680771188662041,-0.2506525322587213,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,1,1,19705686.05526553,373274.3458951633
2019-04-23,-0.9987165071710528,-0.05064916883871355,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,20162207.58449341,456521.5292278772
2019-04-24,-0.9884683243281114,0.15142777750457667,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998,0,0,0,20825943.87893618,663736.2944427719
2019-04-25,-0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998,0,1,1,21301576.43911925,475632.5601830708
2019-04-26,-0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0,0,0,21962640.32096639,661063.8818471394
2019-04-27,-0.72479278722912,0.6889669190756865,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,1,1,0,22536703.72574058,574063.4047741905
2019-04-28,-0.5712682150947924,0.8207634412072763,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998,1,1,0,23077515.195029218,540811.4692886394
2019-04-29,-0.3943558551133187,0.9189578116202306,0.0,1.0,0.8660254037844387,-0.4999999999999998,0,0,0,23625361.21239969,547846.0173704756
2019-04-30,-0.20129852008866114,0.9795299412524943,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0,0,0,22841772.89106419,-783588.3213355053
2019-05-01,0.20129852008866006,0.9795299412524945,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,1,1,23241929.50667876,400156.6156145692
2019-05-02,0.39435585511331855,0.9189578116202306,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,23756317.093617797,514387.5869390351
2019-05-03,0.5712682150947923,0.8207634412072763,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,24341998.516666383,585681.4230485936
2019-05-04,0.72479278722912,0.6889669190756866,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1,1,0,24832117.36947353,490118.8528071424
2019-05-05,0.8486442574947509,0.5289640103269624,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,1,0,24837165.46059105,5048.091117525761
2019-05-06,0.9377521321470804,0.3473052528448203,0.0,1.0,0.49999999999999994,-0.8660254037844387,0,0,0,25321738.10736076,484572.6467697027
2019-05-07,0.9884683243281114,0.1514277775045767,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,16774386.320328664,-8547351.787032096
2019-05-08,0.9987165071710528,-0.05064916883871264,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,17266117.456460804,491731.13613214216
2019-05-09,0.9680771188662043,-0.2506525322587204,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,17788970.065352514,522852.6088917104
2019-05-10,0.8978045395707416,-0.4403941515576344,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,18358762.496402904,569792.431050387
2019-05-11,0.7907757369376989,-0.6121059825476626,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1,1,0,18848204.351775937,489441.8553730326
2019-05-12,0.6513724827222223,-0.758758122692791,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,1,0,19328954.810980856,480750.4592049213
2019-05-13,0.48530196253108104,-0.8743466161445821,0.0,1.0,0.49999999999999994,-0.8660254037844387,0,0,0,19791590.389394782,462635.5784139292
2019-05-14,0.29936312297335804,-0.9541392564000488,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,20253875.52776801,462285.138373223
2019-05-15,0.10116832198743272,-0.994869323391895,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,14902309.24595977,-5351566.28180824
2019-05-16,-0.10116832198743204,-0.9948693233918952,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,15435040.43421319,532731.1882534204
2019-05-17,-0.2993631229733582,-0.9541392564000488,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,16001393.99943394,566353.5652207491
2019-05-18,-0.4853019625310808,-0.8743466161445822,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1,1,0,16499165.810285542,497771.81085160247
2019-05-19,-0.651372482722222,-0.7587581226927911,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,1,0,16984400.831433114,485235.0211475717
2019-05-20,-0.7907757369376986,-0.6121059825476627,0.0,1.0,0.49999999999999994,-0.8660254037844387,0,0,0,17444907.941961184,460507.1105280701
2019-05-21,-0.8978045395707417,-0.44039415155763423,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,17905108.74193662,460200.7999754361
2019-05-22,-0.9680771188662041,-0.2506525322587213,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,18410873.10023432,505764.3582976958
2019-05-23,-0.9987165071710528,-0.05064916883871355,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,18922924.97969868,512051.8794643594
2019-05-24,-0.9884683243281114,0.15142777750457667,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,19500944.356437616,578019.3767389396
2019-05-25,-0.9377521321470804,0.3473052528448203,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387,1,1,0,20081764.872519817,580820.5160822016
2019-05-26,-0.8486442574947509,0.5289640103269624,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387,1,1,0,20642770.16044795,561005.287928135
2019-05-27,-0.72479278722912,0.6889669190756865,0.0,1.0,0.49999999999999994,-0.8660254037844387,0,0,0,21175195.891849663,532425.7314017129
2019-05-28,-0.5712682150947924,0.8207634412072763,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387,0,0,0,21694069.163901325,518873.2720516605
2019-05-29,-0.3943558551133187,0.9189578116202306,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387,0,0,0,22270621.78198702,576552.6180856938
2019-05-30,-0.20129852008866114,0.9795299412524943,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387,0,0,0,20632042.373757355,-1638579.4082296635
2019-05-31,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387,0,0,0,19825264.97630128,-806777.3974560772
2019-06-01,0.20129852008866006,0.9795299412524945,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1,1,0,20487168.28737802,661903.3110767446
2019-06-02,0.39435585511331855,0.9189578116202306,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1,1,1,20967679.099378604,480510.8120005805
2019-06-03,0.5712682150947923,0.8207634412072763,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0,21446546.194235764,478867.0948571607
2019-06-04,0.72479278722912,0.6889669190756866,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,21914764.13842149,468217.9441857264
2019-06-05,0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0,0,0,21934648.913740896,19884.77531940616
2019-06-06,0.9377521321470804,0.3473052528448203,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0,0,0,22479550.23756218,544901.3238212833
2019-06-07,0.9884683243281114,0.1514277775045767,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0,0,0,23065420.66439751,585870.4268353304
2019-06-08,0.9987165071710528,-0.05064916883871264,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1,1,0,23564089.928112365,498669.2637148562
2019-06-09,0.9680771188662043,-0.2506525322587204,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1,1,0,24055512.753458034,491422.82534566673
2019-06-10,0.8978045395707416,-0.4403941515576344,0.0,1.0,1.2246467991473532e-16,-1.0,0,0,0,24525338.389488406,469825.6360303719
2019-06-11,0.7907757369376989,-0.6121059825476626,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0,0,0,24997086.000851847,471747.6113634413
2019-06-12,0.6513724827222223,-0.758758122692791,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,0,0,0,25510959.88972713,513873.8888752861
2019-06-13,0.48530196253108104,-0.8743466161445821,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0,0,0,23410618.782151688,-2100341.107575447
2019-06-14,0.29936312297335804,-0.9541392564000488,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,0,0,0,23648635.66068144,238016.87852975185
2019-06-15,0.10116832198743272,-0.994869323391895,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1,1,0,22832953.251744144,-815682.4089372933
2019-06-16,-0.10116832198743204,-0.9948693233918952,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1,1,0,23326825.654575475,493872.4028313313
